# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.45789995853496,4.5,0.0,0,1.5,0,0.0,0.0,0.0
 0.12641117766659168,2.469884797914251,4.5,0.0,0.18961676649988754,1.5,0,0.0,0.0,0.0
 0.17866035928549867,2.4818396015199777,4.5,0.0,0.26799053892824803,1.5000000000000002,0,0.0,0.0,0.0
 0.21867735447141018,2.493764797553921,4.5,0.0,0.3280160317071153,1.5,0,0.0,0.0,0.0
 0.25235122530024373,2.505660814217861,4.5,0.0,0.3785268379503656,1.5,0,0.0,0.0,0.0
 0.2819648232873945,2.517528079713579,4.5,0.0,0.42294723493109176,1.5000000000000009,0,0.0,0.0,0.0
 0.3086898415516654,2.5293670222428544,4.5,0.0,0.4630347623274982,1.500000000000001,0,0.0,0.0,0.0
 0.3332228713088954,2.5411780700074686,4.5,0.0,0.4998343069633432,1.500000000000001,0,0.0,0.0,0.0
 0.3560181506126567,2.5529616512092024,4.5,0.0,0.5340272259189851,1.499999999999999,0,0.0,0.0,0.0
 0.3773914599190538,2.5647181940498363,4.5,0.0,0.5660871898785808,1.4999999999999973,0,0.0,0.0,0.0
 0.39757291691158564,2.57644812673115,4.5,0.0,0.5963593753673785,1.5,0,0.0,0.0,0.0
 0.416736397770365,2.588151877454925,4.5,0.0,0.6251045966555474,1.4999999999999956,0,0.0,0.0,0.0
 0.4350171121354218,2.5998298744229418,4.5,0.0,0.6525256682031327,1.500000000000003,0,0.0,0.0,0.0
 0.4525226879056569,2.6114825458369806,4.5,0.0,0.6787840318584853,1.4999999999999984,0,0.0,0.0,0.0
 0.46934047536781087,2.623110319898822,4.5,0.0,0.7040107130517163,1.4999999999999984,0,0.0,0.0,0.0
 0.4855425367912847,2.634713624810247,4.5,0.0,0.728313805186927,1.5000000000000033,0,0.0,0.0,0.0
 0.5011891595503322,2.6462928887730364,4.5,0.0,0.7517837393254981,1.499999999999993,0,0.0,0.0,0.0
 0.516331394169816,2.6578485399889695,4.5,0.0,0.7744970912547238,1.4999999999999927,0,0.0,0.0,0.0
 0.5310129290640277,2.6693810066598287,4.5,0.0,0.7965193935960413,1.4999999999999925,0,0.0,0.0,0.0
 0.545271502345309,2.680890716987393,4.5,0.0,0.8179072535179631,1.5,0,0.0,0.0,0.0
 0.5591399832343517,2.6923780991734434,4.5,0.0,0.8387099748515272,1.500000000000004,0,0.0,0.0,0.0
 0.5726472129619319,2.703843581419761,4.5,0.0,0.8589708194428975,1.5,0,0.0,0.0,0.0
 0.5858186674994985,2.715287591928126,4.5,0.0,0.8787280012492475,1.5000000000000042,0,0.0,0.0,0.0
 0.5986769862124973,2.726710558900319,4.5,0.0,0.8980154793187458,1.5000000000000042,0,0.0,0.0,0.0
 0.6112423981838525,2.7381129105381206,4.5,0.0,0.9168635972757786,1.5,0,0.0,0.0,0.0
 0.6235330694340138,2.749495075043312,4.5,0.0,0.9352996041510204,1.4999999999999956,0,0.0,0.0,0.0
 0.6355653882779881,2.7608574806176724,4.5,0.0,0.953348082416982,1.5,0,0.0,0.0,0.0
 0.6473542017865477,2.772200555462984,4.5,0.0,0.9710313026798214,1.5000000000000093,0,0.0,0.0,0.0
 0.6589130132231071,2.783524727781026,4.5,0.0,0.9883695198346605,1.4999999999999905,0,0.0,0.0,0.0
 0.6702541480549196,2.7948304257735797,4.5,0.0,1.005381222082379,1.4999999999999902,0,0.0,0.0,0.0
 0.6813888944476718,2.8061180776424255,4.5,0.0,1.0220833416715074,1.5,0,0.0,0.0,0.0
 0.6923276228822922,2.817388111589344,4.5,0.0,1.038491434323438,1.499999999999995,0,0.0,0.0,0.0
 0.7030798885675851,2.828640955816116,4.5,0.0,1.0546198328513774,1.5000000000000155,0,0.0,0.0,0.0
 0.7136545195817199,2.839877038524522,4.5,0.0,1.0704817793725796,1.5,0,0.0,0.0,0.0
 0.7240596931021477,2.8510967879163425,4.5,0.0,1.0860895396532213,1.5,0,0.0,0.0,0.0
 0.7343030016356983,2.8623006321933575,4.5,0.0,1.1014545024535471,1.4999999999999947,0,0.0,0.0,0.0
 0.7443915108081129,2.873488999557349,4.5,0.0,1.116587266212169,1.4999999999999836,0,0.0,0.0,0.0
 0.7543318099926904,2.8846623182100966,4.5,0.0,1.1314977149890353,1.5000000000000056,0,0.0,0.0,0.0
 0.7641300568344985,2.8958210163533806,4.5,0.0,1.1461950852517473,1.4999999999999887,0,0.0,0.0,0.0
 0.7737920165471013,2.9069655221889823,4.5,0.0,1.1606880248206515,1.5000000000000058,0,0.0,0.0,0.0
 0.7833230967135865,2.9180962639186823,4.5,0.0,1.1749846450703791,1.4999999999999885,0,0.0,0.0,0.0
 0.7927283782055492,2.9292136697442603,4.5,0.0,1.1890925673083232,1.5,0,0.0,0.0,0.0
 0.8020126427370394,2.9403181678674977,4.5,0.0,1.2030189641055586,1.500000000000006,0,0.0,0.0,0.0
 0.8111803974909771,2.951410186490175,4.5,0.0,1.2167705962364652,1.5,0,0.0,0.0,0.0
 0.8202358971898367,2.9624901538140724,4.5,0.0,1.2303538457847545,1.4999999999999938,0,0.0,0.0,0.0
 0.8291831639278185,2.973558498040971,4.5,0.0,1.2437747458917272,1.4999999999999938,0,0.0,0.0,0.0
 0.8380260050361931,2.9846156473726513,4.5,0.0,1.257039007554289,1.5,0,0.0,0.0,0.0
